Author,Editor,Title,Journal,Publication Date,Electronic Date,PubMedID,PMC ID,Branch
"Chang Y, Ivanova A, Albanes D, Fine JP, Shin YE",,Pooling controls from nested case-control studies with the proportional risks model.,Biostatistics,2024 Dec 31,,39255366,,TDRP/MEB
"Desai KT, Ajenifuja KO, Adepiti CA, Inturrisi F, Dagnall C, Hoffman AC, Egemen D, Gage JC, Wentzensen N, de Sanjose S, Schiffman M",,Validation of a simplified HPV genotyping assay designed for cervical screening in low-resource settings.,J Clin Microbiol,2024 Dec 31,2024 Dec 31,39745462,,"OD/CGR, TDRP, TDRP/CGB"
"Yiangou K, Mavaddat N, Dennis J, Zanti M, Wang Q, Bolla MK, Abubakar M, Ahearn TU, Andrulis IL, Anton-Culver H, Antonenkova NN, Arndt V, Aronson KJ, Augustinsson A, Baten A, Behrens S, Bermisheva M, de Gonzalez AB, Bia_kowska K, Boddicker N, Bodelon C, Bogdanova NV, Bojesen SE, Brantley KD, Brauch H, Brenner H, Camp NJ, Canzian F, Castelao JE, Cessna MH, Chang-Claude J, Chenevix-Trench G, Chung WK, NBCS Collaborators, Colonna SV, Couch FJ, Cox A, Cross SS, Czene K, Daly MB, Devilee P, Dörk T, Dunning AM, Eccles DM, Eliassen AH, Engel C, Eriksson M, Evans DG, Fasching PA, Fletcher O, Flyger H, Fritschi L, Gago-Dominguez M, Gentry-Maharaj A, González-Neira A, Guénel P, Hahnen E, Haiman CA, Hamann U, Hartikainen JM, Ho V, Hodge J, Hollestelle A, Honisch E, Hooning MJ, Hoppe R, Hopper JL, Howell S, Howell A, ABCTB Investigators, kConFab Investigators, Jakovchevska S, Jakubowska A, Jernström H, Johnson N, Kaaks R, Khusnutdinova EK, Kitahara CM, Koutros S, Kristensen VN, Lacey JV, Lambrechts D, Lejbkowicz F, Lindblom A, Lush M, Mannermaa A, Mavroudis D, Menon U, Murphy RA, Nevanlinna H, Obi N, Offit K, Park-Simon TW, Patel AV, Peng C, Peterlongo P, Pita G, Plaseska-Karanfilska D, Pylkäs K, Radice P, Rashid MU, Rennert G, Roberts E, Rodriguez J, Romero A, Rosenberg EH, Saloustros E, Sandler DP, Sawyer EJ, Schmutzler RK, Scott CG, Shu XO, Southey MC, Stone J, Taylor JA, Teras LR, van de Beek I, Willett W, Winqvist R, Zheng W, Vachon CM, Schmidt MK, Hall P, MacInnis RJ, Milne RL, Pharoah PDP, Simard J, Antoniou AC, Easton DF, Michailidou K",,Polygenic score distribution differences across European ancestry populations: implications for breast cancer risk prediction.,Breast Cancer Res,2024 Dec 29,2024 Dec 29,39734228,PMC11682615,"TDRP, TDRP/ITEB, TDRP/OEEB, TDRP/REB"
"Assumpção PP, Genta RM, Camargo MC, Silva JMCD, Amieva MR, Rugge M",,The Landscape of Helicobacter pylori-related Gastric Carcinogenesis.,J Gastrointestin Liver Dis,2024 Dec 28,2024 Dec 28,39733312,,TDRP/MEB
"Kendall GM, Appleton JD, Chernyavskiy P, Arsham A, Little MP",,"Machine learning techniques for the prediction of indoor gamma-ray dose rates - Strengths, weaknesses and implications for epidemiology.",J Environ Radioact,2025 Feb,2024 Dec 27,39731985,PMC11810612,"TDRP/BB, TDRP/REB"
"Zhuravleva E, Lewinska M, O'Rourke CJ, Pea A, Rashid A, Hsing AW, Taranta A, Chang D, Gao YT, Koshiol J, Oliveira RC, Andersen JB",,Mutational signatures define immune and Wnt-associated subtypes of ampullary carcinoma.,Gut,2024 Dec 26,2024 Dec 26,39725462,,TDRP/IIB
"Nguyen T, Koric A, Chang CE, Barul C, Radoi L, Serraino D, Purdue MP, Kelsey KT, McClean MD, Negri E, Edefonti V, Moysich K, Zhang ZF, Morgenstern H, Levi F, Vaughan TL, La Vecchia C, Garavello W, Hayes RB, Benhamou S, Schantz SP, Yu GP, Brenner H, Chuang SC, Boffetta P, Hashibe M, Lee YA",,Coffee and tea consumption and the risk of head and neck cancer: An updated pooled analysis in the International Head and Neck Cancer Epidemiology Consortium.,Cancer,2025 Jan 15,2024 Dec 23,39711146,PMC11733827,TDRP/OEEB
"Cui Q, Tan W, Song B, Peng RJ, Wang L, Dorajoo R, Ng KP, Lin GW, Au WY, Liang RHS, Khor CC, Zhang QL, Foo JN, Li SP, Zhang FR, Zhang XJ, Yu XQ, Lan Q, Chanock S, Jia WH, Lim ST, Li WY, Rothman N, Bei JX, Liu J, Lin D, Liu JJ",,Genetic susceptibility of diffuse large B-cell lymphoma: a meta genome-wide association study in Asian population.,Leukemia,2024 Dec 20,2024 Dec 20,39707004,,"OD, OD/LGS, TDRP/OEEB"
"Merritt MA, Abe SK, Islam MR, Rahman MS, Saito E, Katagiri R, Shin A, Choi JY, Le Marchand L, Killeen JL, Gao YT, Tamakoshi A, Koh WP, Sakata R, Sawada N, Tsuji I, Sugawara Y, Kim J, Park SK, Kweon SS, Shu XO, Kimura T, Yuan JM, Tsugane S, Kanemura S, Lu Y, Shin MH, Wen W, Ahsan H, Boffetta P, Chia KS, Matsuo K, Qiao YL, Rothman N, Zheng W, Inoue M, Kang D",,Reproductive factors and risk of epithelial ovarian cancer: results from the Asia Cohort Consortium.,Br J Cancer,2024 Dec 20,2024 Dec 20,39706987,,"TDRP/LTG, TDRP/MEB, TDRP/OEEB"
"Solís-Martínez O, Monge A, Groopman JD, McGlynn KA, Romero-Martínez M, Palacios-Rojas N, Batis C, Lamadrid-Figueroa H, Riojas-Rodríguez H, Lajous M",,Maize consumption and circulating aflatoxin levels in Mexican middle- and older-aged adults: a cross-sectional analysis.,Am J Clin Nutr,2025 Feb,2024 Dec 20,39710096,PMC11863335,TDRP/MEB
