row	Branches	BB	CGB	CGR	IIB	ITEB	LGS	LTG	MEB	OD	OEEB	REB
1	MEB	false	false	false	false	false	false	false	true	false	false	false
2	OD,CGR,CGB	false	true	true	false	false	false	false	false	true	false	false
3	ITEB,OEEB,REB	false	false	false	false	true	false	false	false	false	true	true
4	MEB	false	false	false	false	false	false	false	true	false	false	false
5	BB,REB	true	false	false	false	false	false	false	false	false	false	true
6	IIB	false	false	false	true	false	false	false	false	false	false	false
7	OEEB	false	false	false	false	false	false	false	false	false	true	false
8	OD,LGS,OEEB	false	false	false	false	false	true	false	false	true	true	false
9	LTG,MEB,OEEB	false	false	false	false	false	false	true	true	false	true	false
10	MEB	false	false	false	false	false	false	false	true	false	false	false
11	BB	true	false	false	false	false	false	false	false	false	false	false
12	OD,LGS,REB	false	false	false	false	false	true	false	false	true	false	true
13	none	false	false	false	false	false	false	false	false	false	false	false
14	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
15	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
16	CGB	false	true	false	false	false	false	false	false	false	false	false
17	MEB	false	false	false	false	false	false	false	true	false	false	false
18	OD,CGR	false	false	true	false	false	false	false	false	true	false	false
19	OD,CGR,CGB,LTG	false	true	true	false	false	false	true	false	true	false	false
20	OD,CGB,IIB	false	true	false	true	false	false	false	false	true	false	false
21	MEB	false	false	false	false	false	false	false	true	false	false	false
22	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
23	BB	true	false	false	false	false	false	false	false	false	false	false
24	OD,CGB,IIB	false	true	false	true	false	false	false	false	true	false	false
25	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false
26	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
27	REB	false	false	false	false	false	false	false	false	false	false	true
28	CGB	false	true	false	false	false	false	false	false	false	false	false
29	OD,CGR,CGB	false	true	true	false	false	false	false	false	true	false	false
30	CGB	false	true	false	false	false	false	false	false	false	false	false
31	ITEB	false	false	false	false	true	false	false	false	false	false	false
32	OD,CGR,LGS,BB,ITEB,MEB,REB	true	false	true	false	true	true	false	true	true	false	true
33	MEB	false	false	false	false	false	false	false	true	false	false	false
34	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
35	OEEB	false	false	false	false	false	false	false	false	false	true	false
36	OD,MEB	false	false	false	false	false	false	false	true	true	false	false
37	IIB	false	false	false	true	false	false	false	false	false	false	false
38	REB	false	false	false	false	false	false	false	false	false	false	true
39	OD,CGR,BB,CGB,MEB,OEEB	true	true	true	false	false	false	false	true	true	true	false
40	REB	false	false	false	false	false	false	false	false	false	false	true
41	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
42	OD,MEB	false	false	false	false	false	false	false	true	true	false	false
43	OD,MEB	false	false	false	false	false	false	false	true	true	false	false
44	CGB	false	true	false	false	false	false	false	false	false	false	false
45	OD,CGR,BB,IIB	true	false	true	true	false	false	false	false	true	false	false
46	none	false	false	false	false	false	false	false	false	false	false	false
47	REB	false	false	false	false	false	false	false	false	false	false	true
48	CGB	false	true	false	false	false	false	false	false	false	false	false
49	IIB	false	false	false	true	false	false	false	false	false	false	false
50	OD,CGR,LGS,BB,ITEB,LTG,MEB,OEEB	true	false	true	false	true	true	true	true	true	true	false
51	ITEB,MEB	false	false	false	false	true	false	false	true	false	false	false
52	ITEB	false	false	false	false	true	false	false	false	false	false	false
53	MEB	false	false	false	false	false	false	false	true	false	false	false
54	BB,ITEB,LTG,OEEB	true	false	false	false	true	false	true	false	false	true	false
55	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
56	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
57	OEEB	false	false	false	false	false	false	false	false	false	true	false
58	OD,LGS,ITEB,OEEB	false	false	false	false	true	true	false	false	true	true	false
59	OD,CGR,BB	true	false	true	false	false	false	false	false	true	false	false
60	OD,CGR,BB,ITEB,MEB,OEEB	true	false	true	false	true	false	false	true	true	true	false
61	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
62	none	false	false	false	false	false	false	false	false	false	false	false
63	OD,LGS,BB,ITEB,MEB,OEEB,REB	true	false	false	false	true	true	false	true	true	true	true
64	OD,CGR,LGS,CGB,IIB,ITEB,LTG	false	true	true	true	true	true	true	false	true	false	false
65	CGB	false	true	false	false	false	false	false	false	false	false	false
66	BB,ITEB,MEB	true	false	false	false	true	false	false	true	false	false	false
67	REB	false	false	false	false	false	false	false	false	false	false	true
68	OD,CGR,LGS,BB,ITEB	true	false	true	false	true	true	false	false	true	false	false
69	CGB	false	true	false	false	false	false	false	false	false	false	false
70	CGB	false	true	false	false	false	false	false	false	false	false	false
71	none	false	false	false	false	false	false	false	false	false	false	false
72	IIB	false	false	false	true	false	false	false	false	false	false	false
73	MEB	false	false	false	false	false	false	false	true	false	false	false
74	CGB	false	true	false	false	false	false	false	false	false	false	false
75	BB,CGB,IIB,MEB	true	true	false	true	false	false	false	true	false	false	false
76	BB,REB	true	false	false	false	false	false	false	false	false	false	true
77	CGB,IIB	false	true	false	true	false	false	false	false	false	false	false
78	BB,OEEB	true	false	false	false	false	false	false	false	false	true	false
79	OD,LGS,ITEB,MEB	false	false	false	false	true	true	false	true	true	false	false
80	LTG	false	false	false	false	false	false	true	false	false	false	false
81	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
82	REB	false	false	false	false	false	false	false	false	false	false	true
83	BB	true	false	false	false	false	false	false	false	false	false	false
84	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
85	none	false	false	false	false	false	false	false	false	false	false	false
86	ITEB	false	false	false	false	true	false	false	false	false	false	false
87	ITEB	false	false	false	false	true	false	false	false	false	false	false
88	CGB,MEB	false	true	false	false	false	false	false	true	false	false	false
89	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
90	MEB	false	false	false	false	false	false	false	true	false	false	false
91	OD,LGS,ITEB	false	false	false	false	true	true	false	false	true	false	false
92	REB	false	false	false	false	false	false	false	false	false	false	true
93	REB	false	false	false	false	false	false	false	false	false	false	true
94	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
95	MEB	false	false	false	false	false	false	false	true	false	false	false
96	none	false	false	false	false	false	false	false	false	false	false	false
97	OEEB	false	false	false	false	false	false	false	false	false	true	false
98	BB,ITEB,MEB	true	false	false	false	true	false	false	true	false	false	false
99	BB	true	false	false	false	false	false	false	false	false	false	false
100	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
101	BB,MEB	true	false	false	false	false	false	false	true	false	false	false
102	REB	false	false	false	false	false	false	false	false	false	false	true
103	REB	false	false	false	false	false	false	false	false	false	false	true
104	BB	true	false	false	false	false	false	false	false	false	false	false
105	MEB	false	false	false	false	false	false	false	true	false	false	false
106	none	false	false	false	false	false	false	false	false	false	false	false
107	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
108	LTG,OEEB	false	false	false	false	false	false	true	false	false	true	false
109	CGB	false	true	false	false	false	false	false	false	false	false	false
110	OD,LGS,ITEB,MEB	false	false	false	false	true	true	false	true	true	false	false
111	OEEB	false	false	false	false	false	false	false	false	false	true	false
112	CGB	false	true	false	false	false	false	false	false	false	false	false
113	none	false	false	false	false	false	false	false	false	false	false	false
114	BB	true	false	false	false	false	false	false	false	false	false	false
115	CGB	false	true	false	false	false	false	false	false	false	false	false
116	MEB	false	false	false	false	false	false	false	true	false	false	false
117	MEB	false	false	false	false	false	false	false	true	false	false	false
118	CGB	false	true	false	false	false	false	false	false	false	false	false
119	OEEB	false	false	false	false	false	false	false	false	false	true	false
120	REB	false	false	false	false	false	false	false	false	false	false	true
121	BB,IIB	true	false	false	true	false	false	false	false	false	false	false
122	BB,IIB,MEB	true	false	false	true	false	false	false	true	false	false	false
123	REB	false	false	false	false	false	false	false	false	false	false	true
124	OD,CGR,BB	true	false	true	false	false	false	false	false	true	false	false
125	MEB	false	false	false	false	false	false	false	true	false	false	false
126	OEEB	false	false	false	false	false	false	false	false	false	true	false
127	OD,LGS,MEB,OEEB	false	false	false	false	false	true	false	true	true	true	false
128	OEEB	false	false	false	false	false	false	false	false	false	true	false
129	MEB	false	false	false	false	false	false	false	true	false	false	false
130	BB,CGB	true	true	false	false	false	false	false	false	false	false	false
131	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
132	OEEB	false	false	false	false	false	false	false	false	false	true	false
133	BB,MEB,OEEB	true	false	false	false	false	false	false	true	false	true	false
134	IIB,REB	false	false	false	true	false	false	false	false	false	false	true
135	OD,CGB	false	true	false	false	false	false	false	false	true	false	false
136	OD,BB,MEB	true	false	false	false	false	false	false	true	true	false	false
137	OD,CGR,BB,CGB,MEB	true	true	true	false	false	false	false	true	true	false	false
