row	Branches	BB	CGB	CGR	IIB	ITEB	LGS	LTG	MEB	OD	OEEB	REB	pmid_title
1	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39255366 Pooling controls from nested case-control studies with the proportional risks model.;
2	OD,CGR,CGB	false	true	true	false	false	false	false	false	true	false	false	pmid:39745462 Validation of a simplified HPV genotyping assay designed for cervical screening in low-resource settings.;
3	ITEB,OEEB,REB	false	false	false	false	true	false	false	false	false	true	true	pmid:39734228 Polygenic score distribution differences across European ancestry populations: implications for breast cancer risk prediction.;
4	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39733312 The Landscape of Helicobacter pylori-related Gastric Carcinogenesis.;
5	BB,REB	true	false	false	false	false	false	false	false	false	false	true	pmid:39731985 Machine learning techniques for the prediction of indoor gamma-ray dose rates - Strengths, weaknesses and implications for epidemiology.;
6	IIB	false	false	false	true	false	false	false	false	false	false	false	pmid:39725462 Mutational signatures define immune and Wnt-associated subtypes of ampullary carcinoma.;
7	OEEB	false	false	false	false	false	false	false	false	false	true	false	pmid:39711146 Coffee and tea consumption and the risk of head and neck cancer: An updated pooled analysis in the International Head and Neck Cancer Epidemiology Consortium.;
8	OD,LGS,OEEB	false	false	false	false	false	true	false	false	true	true	false	pmid:39707004 Genetic susceptibility of diffuse large B-cell lymphoma: a meta genome-wide association study in Asian population.;
9	LTG,MEB,OEEB	false	false	false	false	false	false	true	true	false	true	false	pmid:39706987 Reproductive factors and risk of epithelial ovarian cancer: results from the Asia Cohort Consortium.;
10	MEB	false	false	false	false	false	false	false	true	false	false	false	pmid:39710096 Maize consumption and circulating aflatoxin levels in Mexican middle- and older-aged adults: a cross-sectional analysis.;
11	BB	true	false	false	false	false	false	false	false	false	false	false	pmid:39699223 Testing stored control-arm specimens could dramatically increase statistical power yet reduce costs in cancer screening trials.;
12	OD,LGS,REB	false	false	false	false	false	true	false	false	true	false	true	pmid:39699684 Thyroid doses for the Chornobyl Tissue Bank: improved estimates based on revised methodology and individual residence and diet history.;
13	none	false	false	false	false	false	false	false	false	false	false	false	pmid:39703032 Response to zhang and Lv.;
